2026-05-28 | teams_checked=12 | sales_found=2 | expansion=none | finds=[sarnia-sting: June 21 confirmed sale; michigan-state: MSU Surplus jerseys (Bauer gray youth M/L, Munnsters white unisex XL)]
2026-06-01 | run_count=2 | tier=partial | teams_searched=3 | sales_found=0
2026-06-01 | run_count=3 | tier=partial | teams_searched=3 | sales_found=0
2026-06-01 | run_count=4 | tier=full | teams_searched=12 | sales_found=0
2026-06-02 | run_count=5 | tier=partial | teams_searched=3 | sales_found=0
2026-06-02 | run_count=6 | tier=partial | teams_searched=3 | sales_found=0
2026-06-03 | run_count=7 | tier=full | teams_searched=12 | sales_found=0
2026-06-03 | run_count=8 | tier=partial | teams_searched=3 | sales_found=0
2026-06-04 | run_count=9 | tier=partial | teams_searched=3 | sales_found=0
2026-06-04 | run_count=10 | teams_searched=13 | sales_found=0
2026-06-05 | run_count=11 | teams_searched=13 | sales_found=0
2026-06-06 | run_count=12 | teams_searched=13 | sales_found=0
2026-06-07 | run_count=13 | teams_searched=13 | sales_found=0
2026-06-08 | run_count=14 | teams_searched=13 | sales_found=0
2026-06-09 | run_count=15 | teams_searched=13 | sales_found=0
2026-06-10 | run_count=16 | teams_searched=13 | sales_found=0
2026-06-11 | run_count=17 | teams_searched=13 | sales_found=0
2026-06-12 | run_count=18 | teams_searched=13 | sales_found=0
2026-06-13 | run_count=19 | teams_searched=13 | sales_found=0
2026-06-14 | run_count=20 | teams_searched=13 | sales_found=0
2026-06-15 | run_count=21 | teams_searched=13 | sales_found=0
2026-06-15 | run_count=22 | teams_searched=13 | sales_found=0
2026-06-15 | run_count=23 | teams_searched=13 | sales_found=0
2026-06-15 | run_count=24 | teams_searched=13 | sales_found=34
2026-06-16 | run_count=25 | teams_searched=12 | sales_found=6
2026-06-17 | run_count=26 | teams_searched=12 | sales_found=6
2026-06-18 | run_count=27 | teams_searched=12 | sales_found=3
2026-06-19 | run_count=28 | teams_searched=12 | sales_found=3
2026-06-20 | run_count=29 | teams_searched=12 | sales_found=1
2026-06-21 | run_count=30 | teams_searched=11 | sales_found=2
2026-06-22 | run_count=31 | teams_searched=11 | sales_found=1
2026-06-23 | run_count=32 | teams_searched=11 | sales_found=1
2026-06-24 | run_count=33 | teams_searched=11 | sales_found=2
2026-06-25 | run_count=34 | teams_searched=11 | sales_found=0
2026-06-26 | run_count=35 | teams_searched=11 | sales_found=3
2026-06-27 | run_count=36 | teams_searched=12 | sales_found=21
2026-06-28 | run_count=37 | teams_searched=12 | sales_found=4
2026-06-29 | run_count=38 | teams_searched=12 | sales_found=2
2026-06-30 | run_count=39 | teams_searched=12 | sales_found=2
2026-07-01 | run_count=40 | teams_searched=8 | sales_found=2
2026-07-02 | run_count=41 | teams_searched=8 | sales_found=2
2026-07-03 | run_count=42 | teams_searched=8 | sales_found=2
2026-07-04 | run_count=43 | teams_searched=8 | sales_found=0
2026-07-05 | run_count=44 | teams_searched=8 | sales_found=0
2026-07-06 | run_count=45 | teams_searched=8 | sales_found=1
2026-07-07 | run_count=46 | teams_searched=8 | sales_found=0
2026-07-08 | run_count=47 | teams_searched=8 | sales_found=1
2026-07-09 | run_count=48 | teams_searched=8 | sales_found=1
2026-07-10 | run_count=49 | teams_searched=8 | sales_found=2
2026-07-11 | run_count=50 | teams_searched=8 | sales_found=0
2026-07-12 | run_count=51 | teams_searched=8 | sales_found=0
2026-07-13 | run_count=52 | teams_searched=8 | sales_found=8
2026-07-14 | run_count=53 | teams_searched=8 | sales_found=1
2026-07-15 | run_count=54 | teams_searched=8 | sales_found=2
2026-07-16 | run_count=55 | teams_searched=5 | sales_found=1
2026-07-17 | run_count=56 | teams_searched=5 | sales_found=0
2026-07-18 | run_count=57 | teams_searched=5 | sales_found=2
2026-07-19 | run_count=58 | teams_searched=5 | sales_found=1
2026-07-20 | run_count=59 | teams_searched=5 | sales_found=0
2026-07-21 | run_count=60 | teams_searched=4 | sales_found=3
2026-07-22 | run_count=61 | teams_searched=4 | sales_found=0
2026-07-23 | run_count=62 | teams_searched=4 | sales_found=4
2026-07-24 | run_count=63 | teams_searched=4 | sales_found=1
2026-07-25 | run_count=64 | teams_searched=4 | sales_found=2
